TFN,H10003-4321D-01,10.0.13.30,Version 15.5(3)S4b
TFN,H10003-2924D-01,10.0.13.29,Version 12.0(5.2)XU
TFN,H10004-4321D-01,10.0.13.14,Version 15.5(3)S4b
TFN,H10004-2950D-01,10.0.13.13,Version 12.1(22)EA4
TFN,H10301-4321D-01,10.32.17.14,Version 15.5(3)S4b
TFN,H10301-2924D-01,10.32.17.13,Version 12.0(5)WC17
TFN,H10303-4321D-01,10.32.19.14,Version 15.5(3)S4b
TFN,H10303-2924D-01,10.32.19.13,Version 12.0(5.2)XU
TFN,H10402-4321D-01,10.32.19.46,Version 15.5(3)S4b
TFN,H10402-4321D-02,10.32.18.162,Version 15.5(3)S4b
TFN,H10402-2924D-01,10.32.19.45,Version 12.0(5.2)XU
TFN,H10403-4321D-01,10.32.19.110,Version 15.5(3)S4b
TFN,H10403-2924D-01,10.32.19.109,Version 12.0(5.3)WC(1)
TFN,H10405-4321D-01,10.32.19.78,Version 15.5(3)S4b
TFN,H10405-2924D-01,10.32.19.77,Version 12.0(5.2)XU
TFN,H10406-4321D-01,10.32.19.94,Version 15.5(3)S4b
TFN,H10406-2924D-01,10.32.19.93,Version 12.0(5.2)XU
TFN,H10502-4321D-01,10.32.13.30,Version 15.5(3)S4b
TFN,H10502-2924D-01,10.32.13.29,Version 12.0(5.2)XU
TFN,H10504-4321D-01,10.32.13.62,Version 15.5(3)S4b
TFN,H10504-4321D-02,10.32.18.130,Version 15.5(3)S4b
TFN,H10504-2924D-01,10.32.13.61,Version 12.0(5.2)XU
TFN,H10601-4321D-01,10.0.7.110,Version 15.5(3)S4b
TFN,H10601-2924D-01,10.0.7.109,Version 12.0(5.2)XU
TFN,H10603-4321D-01,10.32.18.134,Version 15.5(3)S4b
TFN,H10603-4321D-02,10.32.18.138,Version 15.5(3)S4b
TFN,H10603-2924D-01,10.0.7.29,Version 12.0(5.2)XU
TFN,H10604-4321D-01,10.0.7.46,Version 15.5(3)S4b
TFN,H10604-2950D-01,10.0.7.45,Version 12.1(19)EA1c
TFN,H10606-4321D-01,10.0.13.62,Version 15.5(3)S4b
TFN,H10606-2924D-01,10.0.13.61,Version 12.0(5.2)XU
TFN,H10803-4321D-01,10.0.13.110,Version 15.5(3)S4b
TFN,H10803-2924D-01,10.0.13.109,Version 12.0(5.3)WC(1)
TFN,H10805-4321D-01,10.0.13.94,Version 15.5(3)S4b
TFN,H10805-2924D-01,10.0.13.93,Version 12.0(5.3)WC(1)
TFN,H11002-4321D-01,10.0.7.78,Version 15.5(3)S4b
TFN,H11002-2924D-01,10.0.7.77,Version 12.0(5.2)XU
TFN,H11105-4321D-01,10.32.17.78,Version 15.5(3)S4b
